品名,價格
【寵物愛家】寵物用品劍麻貓樹貓抓貓跳台玩具-魚底+跳台(貓跳台),$650(售價已折)
【寵物愛家】愛寵肥宅時尚系列飲水餵食2入組日常寵物用品(寵物餐碗),$887(售價已折)
【寵毛連線】寵物尿布墊-加厚款(尿墊 寵物用品),$469
【CLEAN 克林】瞇瞇喵 一起趣 貓抓碗 小型 33*33*6cm(貓抓板 磨爪 瓦楞紙 寵物用品 貓咪玩具 貓奴 貓薄荷),$229(售價已折)
【PAWS FAMILIA 爪子本舖】寵物清潔除毛針梳(寵物用品 寵物外出用品 寵物美容用品 除毛梳 針梳 貓狗),$441(售價已折)
魔術風琴貓抓板(貓窩 貓玩具 耐磨耐抓 寵物用品 寵物玩具 變形貓抓板 可折疊瓦楞紙),$257(售價已折)
【寵物用品】小鳥吊床遊戲窩(鳥窩S),$228(售價已折)
【PETA】寵物毛絨耐咬貓薄荷玩具-灰色皇冠恐龍(互動玩樂寵物用品貓玩具),$123(售價已折)
寵物漏食不倒翁玩具(漏食器 漏食玩具 慢食訓錬 寵物玩具 滾輪玩具 貓狗通用 寵物用品),$277(售價已折)
【Doggy Man】犬用玉米牛奶味磨牙骨2入 SS(寵物用品),$146(售價已折)
【點點喵】風琴貓抓板(寵物用品/貓咪用品/人寵互動/貓抓板/多種玩法/耐磨/耐抓),$261(售價已折)
【May Shop】八角寵物圍籠狗狗戶外帳篷牛津布貓籠寵物用品圍欄,$577(售價已折)
【寵物愛家】寵物用品劍麻貓樹貓抓貓跳台玩具-雙魚拚色(貓跳台),$650(售價已折)
【PETA】寵物用品貓咪自嗨解悶啃咬逗貓玩具球(鈴鐺彩色毛線球)3入,$230(售價已折)
【典贊創意】360度寵物旋轉順毛梳(旋轉針梳 寵物圓頭鋼絲梳 貓狗兔 按摩梳 寵物美容梳子 寵物用品),$178(售價已折)
【寵物用品】兔耳溫暖舒適倉鼠窩1入(防風 刺蝟 保暖窩 躲避屋 蜜袋鼯 天竺鼠 黃金鼠 倉鼠棉窩 小動物保暖),$224
【CattyMan】貓用按摩梳理手套(寵物用品),$202(售價已折)
【Doggy Man】犬用每日潔牙棉繩玩具環型 MINI(寵物用品),$76(售價已折)
【K&H PET】美國K&H品牌寵物透氣舒適彈簧床(寵物床 寵物墊 寵物 貓 狗 彈簧墊 彈簧床 寵物用品),"可訂購時通知我$1,143(售價已折)"
骨頭造型寵物雙碗(貓碗 狗碗 寵物碗 飼料碗 餵食碗 造型碗 寵物用品 寵物食盆),$183(售價已折)
【寵物用品】兩棲爬寵躲避盒17x12x7.5cm(爬蟲 守宮盒 水盆 餵食盆 躲藏穴 飼養箱 造景擺飾 蜥蜴/蛇/角蛙),$269
【寵物用品】爬蟲磨甲石板10x10cm(爬蟲/陸龜/蘇卡達/蜥蜴/守宮/蠍子),$215
【木酢達人】臭臭退散-寵物用品消臭抑菌噴霧 55g,$108(售價已折)
【寵物餵食】貓爪造型罐頭蓋+勺子(罐頭勺 攪拌勺 罐頭勺 餵食勺 密封蓋 保鮮蓋 寵物用品),$199
【典贊創意】寵物可拆洗半封閉四季窩(附暖墊羊毛氈寵物窩貓窩狗窩四季通用保暖貓狗兔龍貓寵物用品),$235(售價已折)
【寵愛寵物】寵物脫毛梳子貝殼梳(貓 狗 兔 寵物梳 除毛梳 去毛梳 寵物理毛 寵物用品 寵物美容),$179
【寵物用品】寵物尿布 母狗10片 XS號(20-40cm),$169
【PETA】3入 劍麻球貓咪玩具球 逗貓遛貓玩具(貓抓球寵物用品),$168(售價已折)
【PETA】4入 彩色彈簧貓玩具(逗貓塑料彈簧貓咪玩具寵物用品),$153(售價已折)
寵物自動伸縮牽引繩(寵物牽繩 狗牽繩 伸縮狗繩 伸縮繩 溜狗繩 寵物用品 大型犬 小狗),$269(售價已折)
【ENJOY LIFE 樂享生活】寵物指套牙刷組(貓狗指尖刷 矽膠牙刷 牙齒清潔除臭 口腔清潔 寵物用品),$59
【寵物用品】口袋式寵物吸水毛巾(親膚 快乾 搓澡巾 洗澡球 手套毛巾 寵物洗澡 寵物浴巾 寵物毛巾),$197
【Merryoung 瑪莉洋】寵齒立淨潔牙凝膠7ml/瓶(寵物用品/貓狗清潔/寵物潔牙),$288(售價已折)
【寵物用品】小鳥吊床遊戲窩(鳥窩M),$273(售價已折)
寵物外出帆布包(便攜式寵物手提包 透氣貓包寵物用品 貓玩具 貓咪外出),$409(售價已折)
【CattyMan】貓用極樂木天蓼魚型玩具-湖水藍(寵物用品),$90(售價已折)
【寵物夢工廠】絨毛鈴鐺彈力杆逗貓棒3入(貓玩具/羽毛/逗貓/寵物用品),$150(售價已折)
【ENJOY LIFE 樂享生活】旋轉貓薄荷球&木天蓼(貓零食/貓草/磨牙/潔牙棒/貓薄荷/寵物用品),$99
【寵物用品】寵物潔牙牙刷加厚款-3入組(口腔護理 寵物潔牙 指套牙刷 牙齒清潔 寵物牙刷 矽膠 無毒 禮物),$179
【ENJOY LIFE 樂享生活】時尚寵物自動牽引繩-8M(多色任選/寵物牽繩/伸縮牽繩/寵物拉繩/寵物用品/貓狗用品),$366(售價已折)
【寵物愛家】經典白色陶瓷碗+棉繩玩具(寵物用品),$332(售價已折)
二合一寵物外出飼料隨行杯(飲水杯 飲水器 餵食器 狗狗水壺 寵物水壺 寵物外出 寵物用品),$250(售價已折)
【寵物用品】寵物指甲剪/大號23*9cm(寵物用品/多種顏色可選),$157(售價已折)
【PETA】寵物毛絨耐咬貓薄荷玩具-綠色眼鏡蛇(互動玩樂寵物用品貓玩具),$123(售價已折)
【PETA】甜甜圈寵物玩具 奶油麵包圈(可愛狗狗貓貓發聲毛絨玩具 寵物用品),$137(售價已折)
【美味食】荷包蛋造型寵物碗(貓碗 狗碗 喝水碗 餵食碗 飼料碗 造型碗 糧食盆 寵物用品),$215
【寵物用品】仙人掌造型寵物矽膠梳毛刷(貓梳 狗梳 梳毛梳 按摩梳 寵物梳 寵物梳毛 寵物洗澡 寵物美容),$182(售價已折)
【ENJOY LIFE 樂享生活】寵物磨牙互動玩具(逗貓玩偶/貓狗互動/耐咬玩具/寵物用品),$159
【ROYALLIN 蘿林嚴選】8米自動伸縮狗鍊內附垃圾袋(寵物牽繩 牽引繩 寵物 貓 狗 牽繩 寵物用品),$544(售價已折)
【寵毛連線】植物豆腐貓砂-6L(除臭貓沙 寵物用品),$333
【JOEKI】寵物雨衣-尺寸8XL-CW0059(寵物外出 寵物用品 狗雨衣 中大型犬用),$282(售價已折)
【賀拉HORLA生活家居】睡新寵實貓咪吊床中型寵物窩寵物床四季通用寵物用品(貓床 狗床 寵物床寵物睡覺神器),$277(售價已折)
【典贊創意】寵物可拆洗半封閉四季窩(附暖墊羊毛氈寵物窩貓窩狗窩四季通用保暖貓狗兔龍貓寵物用品),$491(售價已折)
【Merryoung 瑪莉洋】碗晶晶-寵物專用無香洗碗精300ml 罐(寵物用品/環境清潔/寵物洗碗精),$252(售價已折)
【Doggy Man】犬用肉骨頭彩繪橡膠止滑碗-粉紅色 S(寵物用品),$211(售價已折)
【Doggy Man】犬用凹凸慢食止滑碗-M(寵物用品),$429(售價已折)
【Jo Go Wu】魔術風琴貓抓板1入(變形貓抓板/貓抓盆/貓爪床/磨爪器/寵物用品/貓抓窩),$253(售價已折)
【ENJOY LIFE 樂享生活】寵物自動牽引繩-3M(多色任選/寵物牽繩/伸縮牽繩/寵物拉繩/寵物用品/貓狗用品),$241(售價已折)
【寵物用品】吊床鞦韆遊戲小鳥窩(鳥吊床Ｍ),$250(售價已折)
【除除毛】雙面衣物毛球清除刷(理毛梳 黏毛刷 梳毛刷 除毛器 除塵刷 去毛球 衣物除塵 寵物用品 黏毛器),$170
【寵物用品】冬季保暖三角小鳥窩帳篷(鳥窩帳篷S),$296(售價已折)
寵物涼墊/咖啡色/L號70*55cm(寵物用品),$343(售價已折)
寵物涼墊/咖啡色/XL號100*70cm(寵物用品),$433(售價已折)
【寵物用品】寵物尿布 公狗12片 M號(28-42cm),$239
【寵毛連線】伸縮牽引繩-3M(狗牽繩 寵物用品),$307(售價已折)
【Doggy Man】犬用自然素材棉質潔牙四向拉索玩具-M(寵物用品),$137(售價已折)
【CattyMan】貓用懸掛式自動逗貓玩具-花朵(寵物用品),$107(售價已折)
【金德恩】台灣製造 LIXIT寵物用品飼料點心遊戲容器雞蛋球,$438(售價已折)
【金德恩】美國製造 LIXIT寵物用品鳥鼠兔類棉花球遊戲窩,$356(售價已折)
【寵物用品】不鏽鋼寵物直排梳(寵物梳 美容梳 除毛梳 按摩梳 寵物美容 寵物理毛 寵物用品),$249
【WILL設計+寵物用品】推車專用杯架(質感黑),$430(售價已折)
【Jo Go Wu】魔術風琴貓抓板/變形貓抓板+附寵物清潔梳(寵物按摩梳/貓抓盆/貓爪床/磨爪器/寵物用品/貓抓窩),$337(售價已折)
【巴芙洛】加大加寬木製免打孔懸掛式支架加寬寵物貓吊床/4色可選(調節式貓掛床/貓吊床/貓窩/寵物用品/貓床),$550(售價已折)
【MODODO 摸肚肚】磨牙玩具編織骨頭(狗玩具 磨牙玩具 骨頭玩具 編織玩具 寵物用品 耐磨 耐咬),$199
【CB寵物市集】慢食碗(寵物慢食碗 寵物碗 狗碗 防噎碗 狗狗碗 減肥碗 寵物 寵物用品 寵物餐碗 外出碗),$180
【CLEAN 克林】瞇瞇喵 標準型劍麻貓抓墊 30*40cm(顏色隨機 磨爪 貓抓窩 貓床 天然 安全 寵物用品 貓咪玩具),$205(售價已折)
【小米】米家 牠醫生智慧新風除臭貓廁所 套裝(殺菌除臭 寵物用品 貓砂盆 小米生態鏈),"可訂購時通知我$3,102(售價已折)"
狗狗背心式牽引繩/L號/胸圍42-56cm(寵物用品/多種顏色可選),$132(售價已折)
【AOYI奧藝】貓臉造型寵物密封罐頭蓋+多功能罐頭勺(寵物用品 貓狗罐頭蓋 貓狗罐頭勺),$243(售價已折)
【WILL設計+寵物用品】全新黑網超透氣系列(經典斑馬紋),"$1,152(售價已折)"
【寵毛連線】貓造型寵物護頸碗 雙碗(貓碗 狗碗 寵物用品),$230(售價已折)
【寵物愛家】愛寵肥宅時尚系列飲水餵食2入組日常寵物用品(寵物餐碗),$887(售價已折)
【鏟屎神器】雙色貓砂鏟-二入組(貓咪 喵星人 鏟屎官 豆腐砂 寵物清理 寵物用品 收納方便),$197
【木酢達人】寵物用品全效洗潔劑 490g±2% （DA-14）(寵物用品清潔),$362(售價已折)
懸掛式不鏽鋼寵物碗/S(4.5*13cm/寵物用品/多種顏色可選),$217(售價已折)
摺疊矽膠狗碗350ml(寵物用品/多種顏色可選),$102(售價已折)
攜帶式寵物水壺350ml(寵物用品/多種顏色可選),$253(售價已折)
飼料鏟2入(寵物用品/顏色隨機),$122(售價已折)
【Doggy Man】犬用馬卡龍彩繪橡膠止滑碗-紅棕色 SS(寵物用品),$168(售價已折)
【Doggy Man】犬貓用簡約生活濕紙巾30枚-耳周清潔(寵物用品),$182(售價已折)
【瑪莉洋】犬貓用專業潔耳液60g(寵物用品/貓狗清潔/寵物潔耳),$162(售價已折)
狗狗背心式牽引繩XL號/胸圍46-61cm(寵物用品/多種顏色可選),$146(售價已折)
【寵物用品】寵物尿布 公狗12片 XL號(54-66cm),$223(售價已折)
【食品保存】可愛貓爪造型罐頭蓋-2入(密封蓋 保鮮蓋 寵物罐頭 寵物用品),$269
可折疊S形貓貓隧道(貓隧道 可摺疊 貓通道 折疊響紙隧道 寵物用品 寵物玩具 S形隧道),$376(售價已折)
【CattyMan】貓用超密度除蚤順毛針梳(寵物用品),$283(售價已折)
【Doggy Man】犬用益智橡膠玩具-紅色啞鈴S(寵物用品),$207(售價已折)
【Doggy Man】犬用自然素材棉質潔牙拉索玩具-MINI(寵物用品),$74(售價已折)
【Doggy Man】犬用天然棉質長結繩潔牙遊戲-L(寵物用品),$207(售價已折)
【Doggy Man】犬用每日潔牙棉繩玩具環形 SS(寵物用品),$78(售價已折)
【CattyMan】貓用懸掛式自動逗貓玩具-蝴蝶(寵物用品),$112(售價已折)
【CattyMan】伸縮活動雙節棍逗貓棒-華爾滋白球(寵物用品),$114(售價已折)
【金德恩】LIXIT寵物用品鸚鵡鳥類爬蟲貓狗遊戲保濕噴霧瓶240cc(噴霧器/寵物專用/台灣製造),$266(售價已折)
【金德恩】LIXIT寵物用品犬類牽引尼龍繩隨機色,$913(售價已折)
【金德恩】比利時製造 LIXIT寵物用品小型寵物休憩遊戲窩,$584(售價已折)
【金德恩】美國製造 LIXIT寵物用品鳥鼠兔類棉布墊遊戲窩,$356(售價已折)
【金德恩】美國製造 LIXIT寵物用品鼠兔類囓齒磨牙潔牙木塊,$342(售價已折)
【ENJOY LIFE 樂享生活】造型款旋轉貓薄荷球(貓零食/貓草/磨牙/潔牙棒/木天蓼/寵物用品),$109
【寵毛連線】貓造型寵物護頸碗 單碗(貓碗 狗碗 寵物用品),$204(售價已折)
【May shop】洋芋片藏食益智狗狗玩具發聲磨牙耐咬嗅聞寵物用品(寵物紓壓解悶),$261(售價已折)
【OKAWA】寵物眼睛濕巾 2罐(共200抽 去眼垢髒汙 貓狗寵物清潔 寵物濕巾 寵物眼部異物清潔 寵物用品),$306(售價已折)
AH-369 貓吊床_懸掛喵吊床(吸盤貓咪吊床 免吸盤貓窩 寵物用品 寵物吊床 窗邊貓掛床),$587(售價已折)
貓抓床 寵物床 貓狗用品 立式恐龍款貓爬架(貓抓板 貓爪床 磨爪器 寵物用品 磨爪神器 貓玩具),$777(售價已折)
【寵物夢工廠】超值2入組 / 日式寵物三角巾 口水巾 圍脖 寵物領巾(寵物用品 釦式三角巾 寵物裝扮),$180(售價已折)
【木酢達人】臭臭退散寵物用品除臭抑菌噴霧200ml,$292(售價已折)
【毛孩必備】寵物安心扣(寵物安全帶 寵物牽繩 帶 牽引繩 狗牽繩 繩 貓咪牽繩 寵物用品),$377(售價已折)
【May shop】寵物用品折疊狗狗狗窩墊 露營行軍床 摺疊床 離地床,$808(售價已折)
【LOGIN】洛格手提式環保可降解拾便袋(寵物用品),$350
【寵物夢工廠】M號 / 藍色點點保暖方窩 寵物床 狗保暖墊(舒適窩 寵物保暖窩 寵物用品),$246(售價已折)
【PAWS FAMILIA 爪子本舖】蝸牛自動飲水機(寵物用品/寵物飲水機/自動飲水機/飲水機/貓狗用品/寵物家用品),$598(售價已折)
【igo】行星餵食器+飲水機木架(實木製 寵物用品碗架 支架),"$1,541(售價已折)"
【Pet Universe 多寵宇宙】口腔清潔指套(65入/袋 潔牙指套 指套牙刷 寵物刷牙指套 清牙垢指套 寵物用品),$289
【毛孩好朋友】高質感直筒型貓隧道(貓隧道 貓咪隧道 直筒隧道 兔子隧道 寵物隧道 貓玩具 寵物用品),$399
寵物按鈴器 AH-419(叫餐鈴 寵物訓練鈴 按鈴器 玩具鈴 腳印按鈴器 貓狗寵物用品 訓練器 智力玩具),$129(售價已折)
炫光照明寵物牽引繩-3米(伸縮繩 溜狗繩 外出繩 寵物牽繩 寵物外出 寵物用品 自動牽引繩),可訂購時通知我$409(售價已折)
【LOGIN】洛格生物降解拾便袋 盒/64捲(寵物用品),"$2,240"
【Pet Universe 多寵宇宙】寵物清潔乾溼分離手套(8入/袋 寵物用品 寵物美容手套 去浮毛 寵物洗澡 寵物濕巾),$519
【ENJOY LIFE 樂享生活】時尚寵物自動牽引繩-3M(多色任選/寵物牽繩/伸縮牽繩/寵物拉繩/寵物用品/貓狗用品),$270(售價已折)
【YOUPICK】寵物貝殼梳 寵物去毛梳 UC0172(按摩梳 寵物用品 寵物梳子),$148(售價已折)
【ENJOY LIFE 樂享生活】寵物發聲互動玩具(逗貓玩偶/貓狗互動/耐咬玩具/寵物用品),$129
懸掛式不鏽鋼寵物碗/L(5*15.5cm/寵物用品/多種顏色可選),$223(售價已折)
【木酢達人】臭臭退散-寵物用品消臭抑菌噴霧 175g,$318(售價已折)
【金德恩】寵物用品清潔工具收納籃組 美國製造 LIXIT,$891(售價已折)
【寵物用品】吊床鞦韆遊戲鳥窩(鳥吊床L),$296(售價已折)
【寵物用品】冬季保暖三角小鳥窩帳篷(鳥窩帳篷L),$334(售價已折)
【PETA】寵物毛絨耐咬貓薄荷玩具-白雞(互動玩樂寵物用品貓玩具),$153(售價已折)
寵物涼墊/咖啡色/M號62*50cm(寵物用品),$228(售價已折)
【寵物用品】寵物尿布 公狗12片 L號(40-52cm),$259
【PETA】狗繩結玩具寵物用品造型寵物棉繩編織胡蘿蔔狗玩具(棉繩編織胡蘿蔔狗玩具)3入 ,$191(售價已折)
【萌你一整天】貓咪造型開罐器-2入(貓掌 開罐器 貓掌開罐器 貓咪造型 開罐 勺子 勺 矽膠 寵物用品),$322
【Doggy Man】犬用網狀橄欖球型橡膠玩具-S(寵物用品),$179(售價已折)
【Doggy Man】犬用牛革互動潔齒玩具-鱷魚(寵物用品),$166(售價已折)
【Doggy Man】犬用自然素材棉質潔牙遊戲球-S(寵物用品),$73(售價已折)
【Doggy Man】犬用自然素材棉質潔牙遊戲球-M(寵物用品),$118(售價已折)
【Doggy Man】犬用自然素材棉質潔牙遊戲球-L(寵物用品),$192(售價已折)
【CattyMan】親密貓踩踩 小虎(寵物用品),$182(售價已折)
【Doggy Man】犬用自然素材棉質潔牙四向拉索玩具-S(寵物用品),$112(售價已折)
【CattyMan】伸縮活動雙節棍逗貓棒-探戈老鼠(寵物用品),$173(售價已折)
【金德恩】比利時製造 LIXIT寵物用品遊戲吊床線型寵物半月籠,$593(售價已折)
【金德恩】美國製造 LIXIT寵物用品鼠兔類囓齒磨牙潔牙木棒,$342(售價已折)
【金德恩】比利時製造 LIXIT寵物用品小型寵物休憩遊戲兩用沙浴盆,$731(售價已折)
【金德恩】美國製造 LIXIT寵物用品礦輪鹽輪啃咬石(零食/保健/補即),$369(售價已折)
【寵物夢工廠】小星星羽毛逗貓棒2支入(貓咪玩具 彈簧逗貓棒 貓主子 貓奴必備 寵物用品 逗貓 寵物玩具),$153(售價已折)
【寵物夢工廠】超大厚實保暖寵物窩(主人必敗/寵物保暖窩/狗窩/貓窩/寵物用品),$538(售價已折)
【CSmart+】寵物用品 3公尺LED流光牽引繩(發光牽繩),"$1,025(售價已折)"
【ENJOY LIFE 樂享生活】貓薄荷麻布魚-三件組(貓草 逗貓抱枕 貓玩具 寵物用品),$215(售價已折)
【美好寵商】DOGNESS多尼斯 M號項圈+牽繩-LED彩光系列組合(寵物用品推薦 寵物發光項圈 LED項圈 發光牽繩),"$1,485"
【巴芙洛】木製免打孔懸掛式寵物貓吊床/4色可選(調節式貓掛床/貓吊床/貓窩/寵物用品/貓床),$762(售價已折)
【OKAWA】寵物眼睛濕巾 4罐(400抽 去眼垢 髒汙 貓狗寵物清潔 寵物濕巾 寵物眼部異物清潔 寵物用品),$385(售價已折)
【May shop】八角寵物圍籠狗狗戶外帳篷牛津布貓籠寵物用品圍欄,$577(售價已折)
拱門貓咪蹭毛器 AH-226(貓咪抓癢器 蹭毛梳 蹭毛刷 自助蹭毛器 貓抓 喵星人 貓玩具 寵物用品),$309(售價已折)
【寵物夢工廠】S號 / 藍色點點保暖方窩 寵物床 狗保暖墊(舒適窩 寵物保暖窩 寵物用品),$192(售價已折)
【寵毛連線】懸掛式寵物碗-大號(貓碗 狗碗 寵物用品),$230(售價已折)
【FRANCODEX法國法典】綠野防水除蟲頸圈-貓小於2kg〈 35cm/條〉-3入組(寵物用品),$660
【CLEAN 克林】瞇瞇喵 一起趣 貓抓碗 中型 36.5*36.5*10cm(貓抓板 磨爪 瓦楞紙 寵物用品 貓咪玩具 貓薄荷),$319(售價已折)
【美好寵商】DOGNESS多尼斯 小貓套裝(貓咪用品 戶外用品 寵物用品 可調節),$580
【ENJOY LIFE 樂享生活】旋轉風車貓漏食玩具(多色任選 磨牙器 逗貓 蹭癢 貓用品 寵物用品 寵物潔牙),$269(售價已折)
【PET PARADISE】寵物用品-床 方形 時尚灰 S(寵物窩 寵物睡窩),"$1,623(售價已折)"
【寵物愛家】寵物用品透氣手提肩背寵物太空包(寵物外出用品),$650(售價已折)
【美好寵商】DOGNESS多尼斯 迷彩系列牽引繩_M號(牽引繩 狗狗牽繩 寵物用品),$550
【AOYI奧藝】四季通用蛋塔寵物窩 貓狗通用(寵物用品 軟墊貓窩狗窩 保暖貓窩可拆洗寵物床),$434(售價已折)
【寵毛連線】寵物洗澡按摩刷(洗澡刷 寵物用品),$149(售價已折)
【Pet Universe 多寵宇宙】拋棄式戶外狗便鏟(10入/袋 狗便鏟 狗便袋 鏟屎袋 拋棄式鏟便器 拾便器 寵物用品),$369
【金德恩】美國製造 LIXIT寵物用品鳥鼠兔類棉布墊遊戲窩,$356(售價已折)
【OKAWA】轉轉風車逗貓神器(益智 紓壓 磨牙 磨爪 潔齒 寵物用品 玩具 貓薄荷 訓練 逗貓棒 轉轉樂),$225(售價已折)
寵物涼墊/ 咖啡色/S號50*40cm(寵物用品),可訂購時通知我$195(售價已折)
鹿角造型狗狗磨牙玩具(磨牙棒 耐啃咬 潔牙骨 狗牙刷 牙結石 益智 狗玩具 寵物用品),可訂購時通知我$195(售價已折)
【寵物夢工廠】蛋黃造型寵物碗 可愛荷包蛋碗(單蛋黃碗 寵物碗 寵物用品 貓碗 狗碗 水碗 蛋黃單碗),$153(售價已折)
【寵物愛家】經典白色陶瓷碗+棉繩玩具(寵物用品),$332(售價已折)
【Avender 阿凡達】環境除臭抑菌劑-犬貓用 小蒼蘭味 250ml(便尿除臭 貓砂除臭 寵物用品清潔),$475
【CSmart+】寵物用品 5公尺LED流光牽引繩(發光牽繩),$811(售價已折)
【AOYI奧藝】寵物甜甜圈造型薰香4入(貓砂盆除臭/寵物用品芳香),$210(售價已折)
【寵毛連線】懸掛式寵物碗-小號(貓碗 狗碗 寵物用品),$222(售價已折)
【瑪莉洋】寵齒立淨漱口水300mlx2罐(寵物用品/貓狗護理/口腔清潔),$576(售價已折)
【Francodex】綠野防水除蟲頸圈-貓大於2kg 〈35cm/條〉-3入組(寵物用品),$780
【美好寵商】DOGNESS多尼斯 抗震系列牽引繩_L號(寵物用品 彈力牽繩 寵物外出牽繩),$600
【美好寵商】DOGNESS多尼斯 迷彩系列牽引繩_S號(牽引繩 狗狗牽繩 寵物用品),$397
【HALife】寵物雙色毛氈隧道玩具(毛氈 貓隧道 寵物用品 貓玩具 起司),$384(售價已折)
【典贊創意】天然原木潔齒玩具(狗狗磨牙啃咬健齒玩具 耐磨狗玩具 磨牙玩具 啃咬玩具 狗狗玩具 寵物用品),$916(售價已折)
【AOYI奧藝】寵物戶外玩具球 狗狗飛盤玩具球(寵物用品 狗狗戶外訓練 寵物水上互動玩具 狗狗磨牙拉扯玩具),$347(售價已折)
【寵毛連線】寵物梳毛手套(寵物用品),$212(售價已折)
【寵物夢工廠】牛仔褲折疊貓隧道 貓隧道 貓窩 貓洞 貓樂園 貓玩耍 貓奴必備(寵物用品 貓舒壓 貓屋 毛小孩),$500(售價已折)
【寵物夢工廠】超值3入 / 寵物牙齒啾啾球 軟性 給寵物抗憂鬱玩具吧(寵物玩具 寵物用品 寵物 貓狗毛小孩),$180(售價已折)
【PET PARADISE】寵物用品-頭巾 和風 紅(寵物衣 貓咪衣服),$590(售價已折)
【K&H PET】美國貓咪不銹鋼雙碗盆(寵物食盆 寵物用品 寵物 貓 狗 雙碗 不鏽鋼),$551(售價已折)
【木酢達人】寵物用品除臭抑菌噴霧 175g±2%-2入組(DA-13),$665(售價已折)
【瑪莉洋】碗晶晶-寵物專用無香洗碗精300mlx2罐(寵物用品/環境清潔/寵物洗碗精),$504(售價已折)
【美好寵商】DOGNESS多尼斯 LED彩光系列牽引繩(發光牽繩 寵物用品 USB充電),$930
【美好寵商】Petsville派思維 指尖律動逗貓繩(寵物玩具 寵物用品 貓用品 貓玩具 逗貓繩),$650
【美好寵商】Skipdawg 網球套裝_4顆裝(狗玩具 戲水玩具 寵物用品),$450
【Jo Go Wu】魔術風琴貓抓板/變形貓抓板2入(貓抓盆/貓爪床/磨爪器/寵物用品/貓抓窩),$381(售價已折)
【LOGIN】洛格手提式環保可降解拾便袋2入(寵物用品),$650
【PET PARADISE】寵物用品-外出提包 牛仔藍灰(寵物包 寵物提袋),"$3,239(售價已折)"
【PET PARADISE】寵物用品-伸縮牽繩 迷彩藍 S(寵物牽繩/伸縮牽繩/寵物拉繩),"$1,107(售價已折)"
【May shop】洋芋片藏食益智狗狗玩具發聲磨牙耐咬嗅聞寵物用品(寵物出遊必備),$278(售價已折)
【寵毛連線】寵物尿布墊-經濟款(尿墊 寵物用品),$413
【金德恩】台灣製造 LIXIT寵物用品飼料點心遊戲容器雞蛋球,$438(售價已折)
【金德恩】比利時製造 LIXIT寵物用品小型寵物休憩遊戲兩用沙浴盆,$731(售價已折)
【金德恩】美國製造 LIXIT寵物用品鳥鼠兔類棉花球遊戲窩,$356(售價已折)
【金德恩】LIXIT寵物用品鸚鵡鳥類爬蟲貓狗遊戲保濕噴霧瓶240cc(噴霧器/寵物專用/台灣製造),$266(售價已折)
【JOEKI】大尺寸深度睡眠寵物窩-CW0013(寵物窩 寵物床 貓窩 狗窩 防滑床墊 寵物用品),$441(售價已折)
【Invni Life 發明家生活】智能UV殺菌包〈馬卡灰 / 香檳粉 〉(寵物用品/玩具適用),"$1,573(售價已折)"
【ALucky 愛樂奇】寵物外出透氣雙肩豪華太空包(寵物太空包 外出包 寵物包 寵物用品 透明寵物包),$839(售價已折)
【Doggy Man】犬用每日潔牙棉繩玩具棒型 SS(寵物用品),可訂購時通知我$73(售價已折)
【寵物夢工廠】貓掌逗貓棒2支入(貓玩具 貓掌造型逗貓棒 寵物用品 寵物玩具),$200(售價已折)
【木酢達人】寵物用品全效洗潔劑 490g±2%-2入組 （DA-14）(寵物用品清潔),$757(售價已折)
